"Mata Shiv Devi Public School, Delhi",,Delhi
"Modern School, Delhi",,Delhi
"Mother's International School, Delhi",,Delhi
"Mount Abu School, Delhi",,Delhi
"New Green Field School, Delhi",,Delhi
"NK Bagrodia Public School, Delhi",,Delhi
"Prabhu Dayal Public School, Delhi",,Delhi
"Pragati Public School, Delhi",,Delhi
"Presentation Convent Senior Secondary School, Delhi",,Delhi
"Ramjas School, Rk Puram, Delhi",,Delhi
"Ravindra Memorial Public School, Delhi",,Delhi
"Richmondd Global School, Delhi",,Delhi
"Rosary Senior Secondary School, Delhi",,Delhi
"Ryan International School, Delhi",,Delhi
"Sachdeva Public School, Delhi",,Delhi
"SAM International School, Delhi",,Delhi
"Sant Nirankari Public School, Delhi",,Delhi
"Saraswati Bal Mandir, Delhi",,Delhi
"Sardar Patel School, Delhi",,Delhi
"Sarvodya Bal Vidhalaya, Delhi",,Delhi
"Shared Rajpal Dav Public Schoo, Delhi",,Delhi
"Shreeram World School, Delhi",,Delhi
"Shri Tula Ram Public School, Delhi",,Delhi
"Siddharth International Public School, Delhi",,Delhi
"SMS Janakpuri, Delhi",,Delhi
"Soami Nagar Model School, Delhi",,Delhi
"Srijan Public School, Delhi",,Delhi
"St Marks Sr Sec Public School, Delhi",,Delhi
"St Paul School, Delhi",,Delhi
"St. Anthony's Sr. Sec School, Haus Khas, Delhi",,Delhi
"St. BS Public School, Delhi",,Delhi
"St. Columba's School, Delhi",,Delhi
"St. Mary Sr. Sec. School, Delhi",,Delhi
"St. Michael Junior School, Delhi",,Delhi
"St. Michael Senior Secondary School, Delhi",,Delhi
"St. Paul's School, Delhi",,Delhi
"St. Thomas School, Delhi",,Delhi
"St.Joseph, Delhi",,Delhi
"St.Marks Se Sec Public School, Meera Bagh, Delhi",,Delhi
"Tagore International School Eok, Delhi",,Delhi
"The Shri Ram School Vasant Vihar, Delhi",,Delhi
"The Srijan School, Delhi",,Delhi
"Tyagi Public School, Delhi",,Delhi
"V. S. P. K International School, Delhi",,Delhi
"Vasant Valley School, Delhi",,Delhi
"Vedic Sanskrit Agriculture Senior Secondary School, Delhi",,Delhi
"Venkteshwar International School, Delhi",,Delhi
"Vishal Bharti Public School, Delhi",,Delhi
"VSPK International School, Delhi",,Delhi
"St. Francis School Deoghar, Deoghar",,Deoghar
"St.Xavier's High School, Deoghar",,Deoghar
"Carmel English School, Devanhalli",,Devanhalli
"St.Mary's Convent S.S School, Dewas",,Dewas
"Balika Vidya Mandir, Dhanbad",,Dhanbad
"K.K Polytechnic, Dhanbad",,Dhanbad
"Rosemary Land School, Dhanbad",,Dhanbad
"R P S Public School, Dharuhera",,Dharuhera
"Chavara Public School, Dhule",,Dhule
"K.S.K.New City High School, Dhule",,Dhule
"Play House School, Digboi",,Digboi
"Netaji Centenary School, Dinhata",,Dinhata
"St Marys School, Dinhata",,Dinhata
"Holy Child English School Hawaipur, Diphu",,Diphu
"Nilbagan Jatio Vidyalaya, Doboka",,Doboka
"Pranbhakar Desai International School, Dom ",,Dom
"The South Indian Association, Dombivli",,Dombivli
"Divine Mercy School, Domjur",,Domjur
"Hasti Public School, Dondaicha",,Dondaicha
"Flower Kids Senior Secondary School, Dungarpur",,Dungarpur
"Ideal International School, Durg",,Durg
"Carmel Convent High School, Durgapur",,Durgapur
"Delhi Public School, Durgapur",,Durgapur
"Hemsheela Model School, Durgapur",,Durgapur
"Narayana Schools, Durgapur",,Durgapur
"St. Xavier's School, Durgapur",,Durgapur
"Kumaon Public School, Dwarahat ",,Dwarahat
"Rajagiri Christujayanti Public School, Kochi",,Ernakulam
"St Antony's Public School, Ernakulam",,Ernakulam
"The Unique Academy, Erode",,Erode
"Assisi Convent School, Etah",,Etah
"Mount Litera Zee School, Etah ",,Etah
"Aggarwal Public School, Faridabad",,Faridabad
"Apeejay Svran Global School, Faridabad",,Faridabad
"Aravali International School, Faridabad",,Faridabad
"Ashok Memorial Public School, Faridabad",,Faridabad
"Dav Public School, Faridabad",,Faridabad
"Dynasty International School, Faridabad",,Faridabad
"Faridabad Model School, Faridabad",,Faridabad
"Holy Child Public School, Faridabad",,Faridabad
"Manav Rachna International School, Faridabad",,Faridabad
"Modern Delhi Public School, Faridabad",,Faridabad
"Northland International School, Faridabad",,Faridabad
"Panch Sheel Public School, Faridabad",,Faridabad
"Vishal Bharti Vidya Mandir, Faridabad",,Faridabad
"Mount Litera Zee School, Farrukhabad",,Farrukhabad
"S.B.P D.A.V Centenary Public School, Fatehabad",,Fatehabad
"SBP Dav Centenary Public Schoo, Fatehabad",,Fatehabad
"St.Xavier High School, Fatehpur",,Fatehpur
"Christ The King Inter College, Firozabad",,Firozabad
"Satya Lakshya Euroworld School, Ganganagar",,Ganganagar
"St. Claret School, Gangarampur",,Gangarampur
"Akshara Public School, Gangavathi",,Gangavathi
"Army Public School, Gaya",,Gaya
"Modern English School, Gaya",,Gaya
"Air Force School Hindan, Ghaziabad",,Ghaziabad
"Amity International School, Ghaziabad",,Ghaziabad
"Apeejay, Ghaziabad",,Ghaziabad
"Arwachin International School, Ghaziabad",,Ghaziabad
"Bharam Ram Global School, Ghaziabad",,Ghaziabad
"Delhi Public School, Ghaziabad",,Ghaziabad
"DLF Plublic School, Ghaziabad",,Ghaziabad
"DPSG International, Ghaziabad",,Ghaziabad
"DPSGV, Ghaziabad ",,Ghaziabad
"Fr. Agnel School Noida, Ghaziabad ",,Ghaziabad
"KDB Public School, Ghaziabad",,Ghaziabad
"Khaitan Public School, Ghaziabad",,Ghaziabad
"Presidium, Ghaziabad",,Ghaziabad
"Ryan International School, Ghaziabad ",,Ghaziabad
